28, -5, -5, 56.48614422440614, 1
27, -5, -7, 47.740147999520225, 1
36, -4, -7, 29.01096682916228, 1
6, -3, 0, 27.910017853938133, 1
34, 0, -7, 43.11929438262955, 1
29, -1, -5, 77.07808117142736, 1
22, 6, -9, 13.278548338119057, 1
23, 3, -6, 25.321654063509467, 1
20, -2, -1, 13.294328334540891, 1
12, 2, -7, 76.53844152118582, 1
0, 2, -8, 81.00160405781814, 1
1, 2, -3, 23.289551521971074, 1
40, 5, -7, 25.668384557841428, 1
26, 5, -1, 77.20679494515821, 1
31, 8, -5, 76.2447352204388, 1
8, 9, -3, 57.99859058998399, 1
41, 9, -2, 28.024168169022335, 1
25, 11, -3, 41.75617623308199, 1
7, 13, -10, 37.98962015727037, 1
18, 8, -8, 36.76440350745213, 1
